
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.70
4                       1.83
8                       2.44
16                      7.16
32                      8.36
64                     28.56
128                    57.46
256                    95.33
512                   169.67
1024                  313.25
2048                  864.29
4096                  957.93
8192                 1921.10
16384                2352.89
32768                2735.52
65536                2786.62
131072               3420.95
262144               4422.19
524288               5270.45
1048576              5465.60
2097152              5507.92
4194304              5135.73
