
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      10.31
2                      23.19
4                      44.68
8                     110.81
16                    222.82
32                    441.85
64                    664.04
128                   976.11
256                  1483.76
512                  3453.99
1024                 6292.07
2048                 9516.94
4096                 8127.97
8192                 9699.36
16384               11288.74
32768               11855.79
65536               11900.95
131072              12172.50
262144              11719.29
524288              17086.71
1048576             28356.41
2097152             28531.55
4194304             27679.42
