
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.51
2                      13.19
4                      13.28
8                      13.21
16                     12.99
32                     13.05
64                     13.51
128                    13.35
256                    14.05
512                    14.36
1024                   15.24
2048                   15.39
4096                   17.62
8192                   21.18
16384                  29.66
32768                  42.63
65536                  86.91
131072                102.49
262144                135.46
524288                289.98
1048576               519.45
2097152               903.34
4194304              1600.10
