
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.17
32                      0.17
64                      0.17
128                     0.18
256                     0.21
512                     0.30
1024                    0.31
2048                    0.35
4096                    0.68
8192                    1.01
16384                   1.48
32768                   2.45
65536                   3.93
131072                  7.63
262144                 13.01
524288                 26.32
1048576                51.74
2097152               103.31
4194304               236.67
