
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.50
4                      14.97
8                      29.27
16                     59.13
32                    115.69
64                    229.09
128                   417.99
256                   805.28
512                  1607.04
1024                 3001.57
2048                 5006.09
4096                 7495.43
8192                 9923.41
16384               10875.73
32768               11501.29
65536               11799.98
131072              11947.63
262144              12029.08
524288              12070.68
1048576             12086.63
2097152             12094.86
4194304             12106.37
