
# OSU MPI Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      20.22
2                      42.95
4                      86.61
8                     169.69
16                    347.79
32                    696.49
64                   1359.25
128                  1871.95
256                  3447.88
512                  6342.46
1024                11601.61
2048                16885.04
4096                20545.33
8192                29200.01
16384               26923.53
32768               30365.96
65536               28427.00
131072              28993.57
262144              25724.65
524288              29759.48
1048576             26594.03
2097152             28243.90
4194304             28255.35
