
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.74
2                       1.73
4                       1.73
8                       1.73
16                      1.73
32                      1.92
64                      1.95
128                     2.49
256                     2.56
512                     2.68
1024                    2.92
2048                    3.27
4096                    4.12
8192                    4.95
16384                   6.56
32768                   8.72
65536                  11.98
131072                 17.67
262144                 75.38
524288                107.73
1048576               173.47
2097152               303.94
4194304               492.69
