
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.13
2                       0.13
4                       0.13
8                       0.13
16                      0.13
32                      0.14
64                      0.14
128                     0.21
256                     0.21
512                     0.23
1024                    0.26
2048                    0.30
4096                    0.47
8192                    0.65
16384                   1.11
32768                   1.68
65536                   3.33
131072                  6.08
262144                 65.04
524288                 91.17
1048576               140.97
2097152               239.14
4194304               362.53
